Precinct	total_votes	votes|Raymond A. Lopez	votes|Edgar Flores
15001	189	94	95
15002	117	92	25
15003	130	109	21
15004	201	120	81
15005	156	71	85
15006	194	110	84
15007	122	100	22
15008	195	103	92
15009	243	162	81
15010	268	172	96
15011	216	135	81
15012	229	157	72
15013	198	106	92
15014	172	80	92
15015	169	88	81
15016	229	179	50
15017	143	111	32
15018	101	82	19
15019	190	126	64
15020	129	102	27
15021	133	106	27
15022	129	106	23
15023	119	102	17
15024	104	82	22
