Precinct	total_votes	votes|Michael J. Zalewski
13026	0	0
13045	1	1
Berwyn Ward 3 Precinct 1	33	33
Berwyn Ward 3 Precinct 3	149	149
Berwyn Ward 5 Precinct 2	165	165
Berwyn Ward 6 Precinct 3	198	198
Berwyn Ward 7 Precinct 3	246	246
Berwyn Ward 8 Precinct 2	173	173
Cicero 1	256	256
Cicero 2	90	90
Cicero 3	157	157
Cicero 4	172	172
Cicero 8	108	108
Cicero 9	168	168
Cicero 15	172	172
Cicero 16	125	125
Cicero 17	211	211
Cicero 18	121	121
Cicero 23	234	234
Cicero 24	189	189
Cicero 27	110	110
Cicero 28	169	169
Cicero 30	184	184
Cicero 31	122	122
Lyons 4	412	412
Lyons 6	146	146
Lyons 7	270	270
Lyons 8	116	116
Lyons 10	241	241
Lyons 25	83	83
Lyons 29	131	131
Lyons 33	82	82
Lyons 34	73	73
Lyons 35	130	130
Lyons 48	212	212
Lyons 51	134	134
Lyons 58	116	116
Lyons 65	239	239
Lyons 67	218	218
Lyons 68	144	144
Lyons 71	55	55
Lyons 75	120	120
Lyons 76	13	13
Proviso 29	285	285
Proviso 75	167	167
Proviso 89	165	165
Proviso 90	352	352
Riverside 1	158	158
Riverside 8	318	318
Riverside 9	211	211
Riverside 10	282	282
Riverside 11	79	79
Stickney 4	209	209
Stickney 6	298	298
Stickney 7	147	147
Stickney 8	198	198
Stickney 9	102	102
Stickney 12	84	84
Stickney 13	203	203
Stickney 18	122	122
