Precinct	total_votes	votes|Aaron M. Ortiz
12020	2	2
14001	324	324
14002	544	544
14004	332	332
14005	564	564
14006	159	159
14007	525	525
14008	486	486
14009	446	446
14010	266	266
14012	418	418
14013	334	334
14014	370	370
14016	283	283
14017	326	326
14018	40	40
14019	375	375
14020	294	294
14021	382	382
14022	146	146
14023	213	213
14024	402	402
14025	211	211
14026	307	307
14027	381	381
14028	332	332
14029	310	310
14030	265	265
14031	220	220
15003	36	36
15004	381	381
15008	360	360
15009	50	50
15010	231	231
15011	252	252
15012	408	408
15016	449	449
15019	309	309
16001	481	481
16002	83	83
16007	278	278
16011	271	271
16013	319	319
16017	248	248
16023	411	411
16032	372	372
16035	385	385
17001	208	208
17007	307	307
17012	449	449
17014	349	349
17016	336	336
17030	95	95
22001	201	201
22002	435	435
22008	517	517
22012	301	301
22023	378	378
23003	288	288
23006	131	131
23012	24	24
23014	256	256
23017	198	198
23019	328	328
23020	34	34
23022	104	104
23024	213	213
23025	262	262
23026	159	159
23031	327	327
23037	128	128
Stickney 10	595	595
