Precinct	total_votes	votes|Kimberly A. Lightford
28001	216	216
28012	314	314
28014	335	335
28031	409	409
28039	277	277
28041	224	224
28042	228	228
28043	434	434
29002	555	555
29003	461	461
29006	324	324
29008	395	395
29011	229	229
29014	365	365
29016	394	394
29018	406	406
29019	405	405
29020	432	432
29021	563	563
29022	323	323
29028	539	539
29034	287	287
29042	449	449
37001	332	332
37005	381	381
37006	389	389
37009	379	379
37010	474	474
37011	244	244
37014	384	384
37015	381	381
37016	429	429
37017	274	274
37020	345	345
37022	160	160
37023	349	349
37024	393	393
37025	312	312
37026	486	486
37027	335	335
37029	151	151
37030	246	246
37031	421	421
37032	316	316
37033	411	411
37034	318	318
37036	343	343
37038	390	390
37039	350	350
37040	381	381
37041	387	387
