Precinct	total_votes	votes|Robert Martwick
38001	162	162
38002	146	146
38003	148	148
38004	181	181
38005	144	144
38006	126	126
38007	150	150
38008	161	161
38009	172	172
38010	136	136
38011	159	159
38012	154	154
38013	196	196
38014	191	191
38015	172	172
38016	158	158
38017	195	195
38018	194	194
38019	207	207
38020	146	146
38021	161	161
38022	194	194
38023	206	206
38024	202	202
38025	168	168
38026	159	159
38027	161	161
38028	182	182
38029	181	181
38030	156	156
38031	210	210
38032	157	157
38033	157	157
38034	182	182
38035	164	164
38036	164	164
38037	174	174
38038	171	171
38039	234	234
38040	206	206
38041	214	214
