Precinct	total_votes	votes|Kelly M. Burke
17018	10	10
18009	233	233
18019	20	20
18026	124	124
18032	384	384
18034	451	451
19003	287	287
19005	501	501
19009	274	274
19012	294	294
19016	60	60
19018	80	80
19024	253	253
19030	30	30
19033	104	104
19055	288	288
19056	343	343
21003	0	0
21007	393	393
21009	426	426
21013	357	357
21015	80	80
21026	39	39
21029	259	259
Lyons 23	14	14
Lyons 46	404	404
Palos 2	329	329
Palos 7	546	546
Palos 10	480	480
Palos 11	470	470
Palos 12	476	476
Palos 13	255	255
Palos 14	316	316
Palos 21	363	363
Palos 22	84	84
Palos 26	311	311
Palos 30	96	96
Palos 32	234	234
Palos 34	323	323
Palos 35	632	632
Palos 36	584	584
Palos 37	525	525
Palos 39	546	546
Worth 3	542	542
Worth 4	799	799
Worth 5	560	560
Worth 6	567	567
Worth 10	729	729
Worth 11	576	576
Worth 13	685	685
Worth 25	466	466
Worth 26	89	89
Worth 27	400	400
Worth 28	428	428
Worth 29	350	350
Worth 31	751	751
Worth 32	447	447
Worth 33	447	447
Worth 35	611	611
Worth 36	635	635
Worth 37	448	448
Worth 38	637	637
Worth 39	550	550
Worth 40	503	503
Worth 41	298	298
Worth 45	526	526
Worth 46	642	642
Worth 48	397	397
Worth 49	310	310
Worth 52	388	388
Worth 54	643	643
Worth 56	510	510
Worth 57	648	648
Worth 58	297	297
Worth 60	342	342
Worth 61	451	451
Worth 62	309	309
Worth 63	555	555
Worth 69	695	695
Worth 70	613	613
Worth 71	418	418
Worth 72	664	664
Worth 75	692	692
Worth 77	542	542
Worth 78	669	669
Worth 80	676	676
Worth 83	42	42
Worth 84	570	570
Worth 85	560	560
Worth 90	619	619
Worth 91	297	297
Worth 92	577	577
Worth 93	308	308
Worth 96	716	716
Worth 98	486	486
Worth 100	578	578
