Precinct	total_votes	votes|Janice D. Schakowsky	votes|Sargis Sangari
40004	395	314	81
40009	522	423	99
40010	547	459	88
40018	532	461	71
40022	760	687	73
40025	143	134	9
40026	679	618	61
40027	821	722	99
40028	652	588	64
40031	594	542	52
40033	614	569	45
40035	470	373	97
40036	559	493	66
40037	664	577	87
40039	271	205	66
41001	585	275	310
41002	636	298	338
41004	594	338	256
41005	718	410	308
41007	638	353	285
41008	617	325	292
41010	609	346	263
41011	470	224	246
41013	735	378	357
41015	756	446	310
41017	105	65	40
41018	568	330	238
41020	450	246	204
41023	345	139	206
41025	637	355	282
41028	708	447	261
41029	554	309	245
41031	566	352	214
41033	93	56	37
41034	563	302	261
41036	588	331	257
41037	660	375	285
41040	690	322	368
41041	658	349	309
41042	633	306	327
41043	633	354	279
41044	637	282	355
41045	334	190	144
44003	417	358	59
44004	622	517	105
44007	504	394	110
44024	546	454	92
44035	878	724	154
46001	500	441	59
46002	662	603	59
46004	645	593	52
46005	19	13	6
46006	636	576	60
46007	723	612	111
46008	514	457	57
46009	764	690	74
46011	727	583	144
46012	622	565	57
46013	737	642	95
46014	775	689	86
46015	738	641	97
46016	412	375	37
46017	763	636	127
46018	825	673	152
46020	576	523	53
46021	533	447	86
46022	495	455	40
46023	610	565	45
46024	627	539	88
46025	655	603	52
46026	973	879	94
46027	903	799	104
46029	585	503	82
46032	684	604	80
46034	880	787	93
46035	796	705	91
46037	577	519	58
46038	147	130	17
46040	576	516	60
47015	844	793	51
47019	1096	1018	78
47023	785	725	60
47030	510	461	49
48001	656	607	49
48002	306	264	42
48003	773	690	83
48004	657	612	45
48005	376	332	44
48006	820	730	90
48007	703	649	54
48008	355	296	59
48009	469	368	101
48010	915	860	55
48011	545	499	46
48012	833	758	75
48013	868	733	135
48014	332	266	66
48015	428	363	65
48016	733	648	85
48017	587	519	68
48018	477	403	74
48019	463	422	41
48020	698	635	63
48021	899	789	110
48022	540	459	81
48023	640	544	96
48024	819	611	208
48025	543	491	52
48026	333	288	45
48027	649	587	62
48028	821	635	186
48029	307	271	36
48030	557	508	49
48031	938	846	92
48032	727	656	71
48033	366	315	51
48034	577	527	50
48035	439	364	75
48036	379	322	57
48037	710	647	63
48038	664	589	75
48039	529	445	84
48040	575	526	49
48041	866	800	66
48042	724	690	34
48043	774	696	78
48044	811	758	53
48045	482	448	34
48046	432	373	59
49001	435	412	23
49002	413	394	19
49003	812	753	59
49004	861	791	70
49005	615	566	49
49006	587	535	52
49007	560	492	68
49008	601	547	54
49009	698	623	75
49010	742	666	76
49011	845	784	61
49012	810	735	75
49013	783	709	74
49014	537	488	49
49015	505	469	36
49016	640	566	74
49017	559	468	91
49018	828	774	54
49019	635	587	48
49020	986	903	83
49021	423	380	43
49022	709	638	71
49023	866	783	83
49024	547	511	36
49025	853	776	77
49026	789	706	83
49027	760	697	63
49028	939	861	78
49029	807	741	66
49030	733	649	84
49031	501	450	51
49032	638	593	45
49033	520	480	40
50001	575	309	266
50002	360	213	147
50003	509	286	223
50004	628	459	169
50005	432	208	224
50006	582	450	132
50007	605	535	70
50008	534	472	62
50009	471	346	125
50010	648	372	276
50011	420	139	281
50012	253	157	96
50013	652	550	102
50014	196	109	87
50015	621	517	104
50016	187	114	73
50017	620	409	211
50018	107	53	54
50019	431	367	64
50020	565	446	119
50021	497	380	117
50022	542	324	218
50023	419	268	151
50025	489	255	234
50026	634	443	191
50027	206	123	83
50028	577	488	89
50029	571	478	93
50030	432	373	59
50031	727	625	102
50032	642	557	85
50033	455	201	254
50034	743	513	230
50035	689	597	92
50036	557	433	124
50037	571	486	85
50038	231	147	84
50039	398	234	164
50040	587	216	371
Elk Grove 1	651	433	218
Elk Grove 5	992	628	364
Elk Grove 6	532	334	198
Elk Grove 7	844	497	347
Elk Grove 8	666	346	320
Elk Grove 10	1,043	616	427
Elk Grove 11	836	480	356
Elk Grove 14	439	250	189
Elk Grove 16	784	418	366
Elk Grove 19	960	538	422
Elk Grove 23	571	336	235
Elk Grove 24	696	382	314
Elk Grove 25	644	356	288
Elk Grove 26	631	342	289
Elk Grove 27	924	458	466
Elk Grove 30	696	380	316
Elk Grove 34	1,265	796	469
Elk Grove 37	516	267	249
Elk Grove 41	546	289	257
Elk Grove 44	626	323	303
Elk Grove 46	551	264	287
Elk Grove 48	459	285	174
Evanston Ward 1 Precinct 1	209	199	10
Evanston Ward 1 Precinct 2	898	785	113
Evanston Ward 1 Precinct 3	783	681	102
Evanston Ward 1 Precinct 4	1,089	971	118
Evanston Ward 2 Precinct 1	1,548	1,364	184
Evanston Ward 2 Precinct 2	581	550	31
Evanston Ward 2 Precinct 3	760	725	35
Evanston Ward 2 Precinct 4	1,025	972	53
Evanston Ward 2 Precinct 5	698	656	42
Evanston Ward 3 Precinct 1	904	800	104
Evanston Ward 3 Precinct 2	1,009	898	111
Evanston Ward 3 Precinct 3	866	787	79
Evanston Ward 3 Precinct 4	438	389	49
Evanston Ward 3 Precinct 5	959	848	111
Evanston Ward 3 Precinct 6	819	745	74
Evanston Ward 3 Precinct 7	715	666	49
Evanston Ward 4 Precinct 1	447	412	35
Evanston Ward 4 Precinct 2	726	658	68
Evanston Ward 4 Precinct 3	684	590	94
Evanston Ward 4 Precinct 4	1,128	1,031	97
Evanston Ward 4 Precinct 5	449	399	50
Evanston Ward 4 Precinct 6	1,008	891	117
Evanston Ward 5 Precinct 1	719	680	39
Evanston Ward 5 Precinct 2	1,004	908	96
Evanston Ward 5 Precinct 3	729	701	28
Evanston Ward 5 Precinct 4	466	451	15
Evanston Ward 6 Precinct 1	1,206	1,009	197
Evanston Ward 6 Precinct 2	627	558	69
Evanston Ward 6 Precinct 3	637	567	70
Evanston Ward 6 Precinct 4	844	754	90
Evanston Ward 6 Precinct 5	1,090	928	162
Evanston Ward 6 Precinct 6	644	535	109
Evanston Ward 6 Precinct 7	995	884	111
Evanston Ward 7 Precinct 1	1,189	1,057	132
Evanston Ward 7 Precinct 2	1,292	1,122	170
Evanston Ward 7 Precinct 3	140	127	13
Evanston Ward 7 Precinct 4	550	499	51
Evanston Ward 7 Precinct 5	1,066	915	151
Evanston Ward 7 Precinct 6	14	14	0
Evanston Ward 8 Precinct 1	920	851	69
Evanston Ward 8 Precinct 2	715	666	49
Evanston Ward 8 Precinct 3	612	566	46
Evanston Ward 8 Precinct 4	762	698	64
Evanston Ward 8 Precinct 5	1,002	905	97
Evanston Ward 9 Precinct 1	660	605	55
Evanston Ward 9 Precinct 2	716	674	42
Evanston Ward 9 Precinct 3	1,052	966	86
Evanston Ward 9 Precinct 4	887	803	84
Evanston Ward 9 Precinct 5	563	504	59
Evanston Ward 9 Precinct 6	741	659	82
Leyden 23	1,202	666	536
Maine 6	997	622	375
Maine 7	519	320	199
Maine 8	833	482	351
Maine 10	512	339	173
Maine 11	525	313	212
Maine 12	483	309	174
Maine 13	774	463	311
Maine 14	867	556	311
Maine 16	528	333	195
Maine 17	745	464	281
Maine 18	612	395	217
Maine 19	505	309	196
Maine 20	461	287	174
Maine 21	906	552	354
Maine 22	895	541	354
Maine 24	1,023	595	428
Maine 25	805	485	320
Maine 26	728	494	234
Maine 27	489	303	186
Maine 29	1,129	582	547
Maine 30	1,685	943	742
Maine 32	489	228	261
Maine 34	904	598	306
Maine 35	35	21	14
Maine 36	690	362	328
Maine 37	776	372	404
Maine 38	581	326	255
Maine 39	769	417	352
Maine 41	567	324	243
Maine 42	1,025	619	406
Maine 43	613	296	317
Maine 44	532	314	218
Maine 46	877	455	422
Maine 47	767	499	268
Maine 48	809	490	319
Maine 49	702	441	261
Maine 50	696	381	315
Maine 52	628	428	200
Maine 53	667	435	232
Maine 54	717	426	291
Maine 55	676	346	330
Maine 58	907	433	474
Maine 59	766	390	376
Maine 60	1,329	710	619
Maine 61	451	272	179
Maine 62	442	238	204
Maine 63	574	355	219
Maine 65	525	283	242
Maine 67	1,042	515	527
Maine 68	510	322	188
Maine 71	410	241	169
Maine 72	632	333	299
Maine 74	662	411	251
Maine 75	638	347	291
Maine 76	442	259	183
Maine 77	1,153	699	454
Maine 79	668	492	176
Maine 80	627	343	284
Maine 82	692	428	264
Maine 83	539	274	265
Maine 85	420	237	183
Maine 87	450	266	184
Maine 88	454	198	256
Maine 90	496	231	265
Maine 91	1,077	632	445
New Trier 3	797	610	187
New Trier 8	718	404	314
New Trier 9	929	539	390
New Trier 10	815	475	340
New Trier 11	1,131	636	495
New Trier 12	994	572	422
New Trier 13	1,227	802	425
New Trier 14	999	562	437
New Trier 15	1,163	723	440
New Trier 16	1,150	644	506
New Trier 17	799	602	197
New Trier 18	629	388	241
New Trier 19	630	276	354
New Trier 20	1,212	757	455
New Trier 21	902	658	244
New Trier 22	827	440	387
New Trier 23	871	399	472
New Trier 24	1,059	801	258
New Trier 25	749	476	273
New Trier 26	626	451	175
New Trier 27	840	652	188
New Trier 28	720	477	243
New Trier 29	774	498	276
New Trier 30	990	630	360
New Trier 31	845	597	248
New Trier 32	783	555	228
New Trier 33	961	737	224
New Trier 34	716	503	213
New Trier 35	474	312	162
New Trier 36	1,117	808	309
New Trier 37	841	613	228
New Trier 38	873	652	221
New Trier 39	593	393	200
New Trier 40	500	278	222
New Trier 41	717	375	342
Niles 1	827	442	385
Niles 2	979	613	366
Niles 3	1,284	756	528
Niles 4	759	416	343
Niles 5	540	275	265
Niles 6	774	391	383
Niles 7	1,263	900	363
Niles 8	372	273	99
Niles 9	537	314	223
Niles 10	915	604	311
Niles 11	427	284	143
Niles 12	630	458	172
Niles 13	967	511	456
Niles 14	993	722	271
Niles 15	941	636	305
Niles 16	1,163	807	356
Niles 17	977	722	255
Niles 18	508	398	110
Niles 19	841	519	322
Niles 20	735	497	238
Niles 21	1,113	892	221
Niles 22	796	547	249
Niles 23	843	611	232
Niles 24	1,010	688	322
Niles 25	495	326	169
Niles 26	1,002	607	395
Niles 27	789	597	192
Niles 28	834	621	213
Niles 29	611	441	170
Niles 30	762	472	290
Niles 31	828	601	227
Niles 32	380	277	103
Niles 33	1,032	783	249
Niles 34	850	553	297
Niles 35	924	656	268
Niles 36	536	419	117
Niles 37	832	606	226
Niles 38	1,419	927	492
Niles 39	944	656	288
Niles 40	470	257	213
Niles 41	940	666	274
Niles 42	835	602	233
Niles 43	1,114	621	493
Niles 44	939	696	243
Niles 45	607	454	153
Niles 46	995	645	350
Niles 47	468	337	131
Niles 48	813	572	241
Niles 49	942	805	137
Niles 50	968	619	349
Niles 51	531	324	207
Niles 52	681	437	244
Niles 53	1,190	841	349
Niles 54	527	353	174
Niles 55	519	406	113
Niles 56	1,080	658	422
