Precinct	total_votes	votes|Delia C. Ramirez
01001	283	283
01003	293	293
01004	275	275
01005	271	271
01006	212	212
01008	73	73
01010	305	305
01011	248	248
01014	241	241
01015	194	194
01017	225	225
01018	247	247
01020	252	252
01021	316	316
01022	165	165
01024	245	245
01025	240	240
01026	147	147
01027	285	285
01029	330	330
01030	309	309
01031	172	172
01032	175	175
01033	275	275
01035	321	321
01036	300	300
01037	168	168
01038	198	198
01039	202	202
01040	254	254
01044	234	234
02001	96	96
02003	286	286
02004	247	247
02005	307	307
02014	297	297
02015	34	34
02016	248	248
02017	55	55
02021	284	284
26001	191	191
26002	149	149
26003	183	183
26004	89	89
26005	173	173
26006	144	144
26008	89	89
26009	122	122
26010	154	154
26011	157	157
26012	177	177
26013	77	77
26014	142	142
26015	84	84
26016	61	61
26018	71	71
26019	43	43
26020	169	169
26021	193	193
26022	75	75
26023	137	137
26024	96	96
26025	121	121
26026	121	121
26027	173	173
26028	66	66
26029	78	78
26030	140	140
26031	74	74
26032	200	200
26033	210	210
26034	5	5
26035	141	141
26036	150	150
26038	58	58
26039	189	189
26040	122	122
26041	181	181
26042	135	135
26043	93	93
26044	52	52
26045	63	63
26047	88	88
26048	184	184
26049	74	74
27005	7	7
27007	289	289
27013	75	75
27024	10	10
27027	12	12
27040	10	10
27043	4	4
31004	46	46
31016	51	51
35003	150	150
35012	132	132
35013	122	122
35016	101	101
35019	29	29
35021	207	207
36012	16	16
37012	72	72
37022	0	0
