Precinct	total_votes	votes|Lakesia Collins
02009	529	529
02012	457	457
02020	16	16
02041	203	203
02046	293	293
11002	33	33
11006	738	738
11007	454	454
11033	618	618
12010	96	96
22019	199	199
22021	397	397
24001	306	306
24002	331	331
24003	404	404
24004	285	285
24005	207	207
24006	358	358
24007	246	246
24008	173	173
24009	345	345
24010	168	168
24011	410	410
24012	225	225
24013	208	208
24014	310	310
24015	179	179
24016	24	24
24017	188	188
24018	344	344
24020	61	61
24021	193	193
24022	425	425
24023	303	303
24024	386	386
24025	280	280
24026	513	513
24027	349	349
24028	224	224
24029	255	255
24030	202	202
24031	369	369
24033	213	213
24034	334	334
24035	356	356
24036	380	380
24037	195	195
24038	265	265
24039	341	341
24040	419	419
25003	867	867
25004	391	391
25010	696	696
25016	821	821
25020	315	315
25025	406	406
25027	332	332
25029	402	402
25031	997	997
27002	488	488
27006	531	531
27009	217	217
27010	171	171
27011	161	161
27014	118	118
27016	375	375
27018	312	312
27020	322	322
27021	442	442
27025	93	93
27028	621	621
27033	207	207
27037	466	466
27038	452	452
27041	359	359
27042	318	318
27045	1324	1324
27047	292	292
27048	904	904
28004	353	353
28005	226	226
28006	183	183
28008	549	549
28010	472	472
28011	810	810
28018	272	272
28019	299	299
28027	337	337
28028	430	430
28029	165	165
28032	29	29
28034	586	586
28035	388	388
28045	528	528
28046	641	641
42003	622	622
42009	4	4
42012	258	258
42016	611	611
42018	3	3
42021	184	184
42036	455	455
42041	204	204
43001	288	288
43003	520	520
43005	283	283
43045	345	345
