Precinct	total_votes	votes|Sara Feigenholtz
02028	231	231
02030	194	194
02031	270	270
02033	326	326
02035	208	208
02037	230	230
02038	69	69
02044	141	141
27009	0	0
27012	134	134
27046	120	120
43004	226	226
43008	186	186
43012	145	145
43013	254	254
43014	228	228
43015	225	225
43019	267	267
43025	227	227
43026	167	167
43027	216	216
43028	285	285
43032	264	264
43033	232	232
43034	198	198
43036	131	131
43038	149	149
43042	184	184
43043	220	220
44001	490	490
44003	212	212
44004	267	267
44005	321	321
44006	359	359
44007	212	212
44008	332	332
44010	257	257
44011	77	77
44012	308	308
44013	182	182
44014	223	223
44015	291	291
44017	396	396
44018	249	249
44019	379	379
44020	276	276
44021	335	335
44022	350	350
44023	257	257
44024	214	214
44025	6	6
44026	337	337
44027	296	296
44028	337	337
44029	276	276
44031	275	275
44032	300	300
44033	338	338
44034	297	297
44035	331	331
44036	304	304
44037	345	345
44038	232	232
44039	249	249
44040	254	254
44041	342	342
46003	380	380
46005	310	310
46007	347	347
46009	337	337
46010	423	423
46011	257	257
46013	304	304
46015	273	273
46017	323	323
46018	309	309
46019	206	206
46024	343	343
46026	155	155
46027	337	337
46028	329	329
46029	53	53
46030	328	328
46031	315	315
46033	357	357
46034	315	315
46035	347	347
46036	278	278
46038	254	254
46039	315	315
