Precinct	total_votes	votes|Christopher Taliaferro
29001	301	301
29002	426	426
29003	293	293
29004	310	310
29005	235	235
29006	260	260
29007	259	259
29008	246	246
29009	259	259
29010	338	338
29011	181	181
29012	361	361
29013	289	289
29014	273	273
29015	303	303
29016	272	272
29017	243	243
29018	316	316
29019	304	304
29020	335	335
29021	395	395
29022	207	207
29023	240	240
29024	239	239
29025	287	287
29026	243	243
29027	244	244
29028	361	361
29029	218	218
29030	296	296
29031	177	177
29032	193	193
29033	195	195
29034	133	133
29035	226	226
29036	242	242
29037	269	269
29038	216	216
29039	227	227
29040	327	327
29041	238	238
29042	300	300
29043	324	324
29044	345	345
