Precinct	total_votes	votes|Theresa Mah
11001	452	452
11003	412	412
11004	402	402
11005	576	576
11008	416	416
11009	373	373
11010	400	400
11011	474	474
11014	245	245
11015	151	151
11016	286	286
11017	504	504
11018	364	364
11019	558	558
11020	291	291
11022	537	537
11023	249	249
11025	502	502
11026	487	487
11027	176	176
11030	242	242
11036	199	199
11037	157	157
11038	220	220
12001	419	419
12003	510	510
12004	408	408
12005	335	335
12006	12	12
12008	417	417
12009	339	339
12013	320	320
12017	184	184
12019	391	391
12021	419	419
12023	414	414
15005	301	301
15009	373	373
15013	293	293
15014	299	299
15015	316	316
20020	0	0
25001	386	386
25002	443	443
25005	456	456
25006	173	173
25007	431	431
25008	508	508
25009	468	468
25011	493	493
25012	421	421
25013	483	483
25014	351	351
25015	380	380
25017	459	459
25018	380	380
25019	442	442
25022	441	441
25023	504	504
25024	460	460
25026	399	399
25027	33	33
25028	469	469
25030	435	435
25032	375	375
28019	0	0
