Precinct	total_votes	votes|Gregory Harris
33018	204	204
39013	24	24
39022	350	350
39030	157	157
40001	429	429
40002	426	426
40003	590	590
40004	42	42
40005	483	483
40006	584	584
40007	468	468
40008	615	615
40009	384	384
40010	110	110
40011	497	497
40012	383	383
40013	757	757
40014	398	398
40015	413	413
40016	620	620
40017	376	376
40018	437	437
40019	559	559
40020	452	452
40021	555	555
40022	484	484
40023	565	565
40024	406	406
40025	618	618
40026	501	501
40027	624	624
40029	375	375
40030	357	357
40031	566	566
40032	540	540
40033	484	484
40034	395	395
40035	335	335
40036	428	428
40037	480	480
40038	604	604
40039	68	68
46001	388	388
46002	474	474
46004	499	499
46006	490	490
46008	380	380
46012	589	589
46014	573	573
46016	605	605
46020	441	441
46021	382	382
46022	398	398
46023	414	414
46025	528	528
46026	290	290
46029	53	53
46032	513	513
46037	359	359
46040	461	461
47005	452	452
47010	701	701
47015	675	675
47019	720	720
47020	501	501
47022	608	608
47023	589	589
47026	741	741
47028	459	459
47030	694	694
47031	541	541
47032	655	655
47034	569	569
47036	631	631
47037	578	578
47038	554	554
47039	9	9
47041	563	563
47042	534	534
47045	502	502
48004	517	517
48007	4	4
48014	22	22
48017	483	483
48020	421	421
48021	646	646
48023	530	530
48024	577	577
48035	318	318
48038	57	57
