Precinct	total_votes	votes|Matthew J. O'Shea
19001	251	251
19002	404	404
19003	177	177
19004	253	253
19005	321	321
19006	227	227
19007	254	254
19008	248	248
19009	180	180
19010	320	320
19011	207	207
19012	178	178
19013	401	401
19014	324	324
19015	258	258
19016	254	254
19017	229	229
19018	280	280
19019	338	338
19020	282	282
19021	193	193
19022	255	255
19023	266	266
19024	184	184
19025	260	260
19026	258	258
19027	316	316
19028	365	365
19029	211	211
19030	205	205
19031	251	251
19032	223	223
19033	223	223
19034	248	248
19035	259	259
19036	396	396
19037	308	308
19038	287	287
19039	124	124
19040	316	316
19041	202	202
19042	215	215
19043	426	426
19044	283	283
19045	263	263
19046	271	271
19047	460	460
19048	365	365
19049	389	389
19050	215	215
19051	321	321
19052	242	242
19053	234	234
19054	166	166
19055	173	173
19056	293	293
19057	246	246
