Precinct	total_votes	votes|Gregory I. Mitchell
07001	264	264
07002	264	264
07003	276	276
07004	295	295
07005	208	208
07006	333	333
07007	244	244
07008	206	206
07009	401	401
07010	325	325
07011	316	316
07012	251	251
07013	163	163
07014	286	286
07015	292	292
07016	255	255
07017	245	245
07018	217	217
07019	278	278
07020	211	211
07021	202	202
07022	215	215
07023	308	308
07024	250	250
07025	257	257
07026	255	255
07027	237	237
07028	192	192
07029	240	240
07030	212	212
07031	167	167
07032	416	416
07033	392	392
07034	347	347
07035	265	265
07036	367	367
07037	332	332
07038	235	235
07039	252	252
07040	268	268
07041	284	284
07042	277	277
07043	246	246
07044	274	274
07045	292	292
07046	114	114
