Precinct	total_votes	votes|Walter Burnett, Jr.
27001	175	175
27002	222	222
27003	169	169
27004	150	150
27005	184	184
27006	173	173
27007	277	277
27008	234	234
27009	70	70
27010	311	311
27011	151	151
27012	110	110
27013	390	390
27014	156	156
27015	184	184
27016	145	145
27017	286	286
27018	226	226
27019	171	171
27020	240	240
27021	143	143
27022	165	165
27023	232	232
27024	214	214
27025	213	213
27026	227	227
27027	319	319
27028	120	120
27029	208	208
27030	169	169
27031	219	219
27032	205	205
27033	188	188
27034	277	277
27035	159	159
27036	211	211
27037	231	231
27038	327	327
27039	226	226
27040	263	263
27041	247	247
27042	143	143
27043	232	232
27044	242	242
27045	217	217
27046	99	99
27047	203	203
27048	310	310
27049	197	197
27050	244	244
