Precinct	total_votes	votes|Arthur Turner
02009	402	402
02012	432	432
02020	8	8
02041	107	107
02046	278	278
11002	60	60
11006	607	607
11007	777	777
11033	502	502
12010	77	77
22019	241	241
22021	468	468
24001	351	351
24002	373	373
24003	431	431
24004	308	308
24005	235	235
24006	398	398
24007	218	218
24008	178	178
24009	428	428
24010	183	183
24011	447	447
24012	266	266
24013	249	249
24014	354	354
24015	253	253
24016	19	19
24017	233	233
24018	380	380
24020	70	70
24021	210	210
24022	519	519
24023	377	377
24024	500	500
24025	294	294
24026	506	506
24027	400	400
24028	291	291
24029	285	285
24030	214	214
24031	445	445
24033	242	242
24034	349	349
24035	366	366
24036	471	471
24037	251	251
24038	301	301
24039	419	419
24040	399	399
25003	588	588
25004	446	446
25010	649	649
25016	597	597
25020	333	333
25025	434	434
25027	331	331
25029	406	406
25031	772	772
27002	426	426
27006	394	394
27009	211	211
27010	345	345
27011	142	142
27014	63	63
27016	348	348
27018	306	306
27020	362	362
27021	403	403
27025	101	101
27028	211	211
27033	162	162
27037	414	414
27038	445	445
27041	382	382
27042	278	278
27045	752	752
27047	283	283
27048	662	662
28004	311	311
28005	193	193
28006	169	169
28008	389	389
28010	456	456
28011	714	714
28018	287	287
28019	324	324
28027	361	361
28028	414	414
28029	209	209
28032	0	0
28034	758	758
28035	445	445
28045	386	386
28046	590	590
42003	574	574
42009	4	4
42012	218	218
42016	548	548
42018	5	5
42021	163	163
42036	339	339
42041	190	190
43001	271	271
43003	463	463
43005	251	251
43045	315	315
