Precinct	total_votes	votes|Toni L. Foulkes	votes|Nathan Wilson	votes|Stephanie D. Coleman
16001	302	132	55	115
16002	296	116	62	118
16003	233	112	35	86
16004	219	96	45	78
16005	261	81	56	124
16006	277	143	52	82
16007	255	87	45	123
16008	200	81	27	92
16009	315	109	54	152
16010	235	88	39	108
16011	257	75	63	119
16012	242	79	44	119
16013	264	129	50	85
16014	225	66	37	122
16015	302	66	114	122
16016	260	137	48	75
16017	263	118	55	90
16018	253	108	58	87
16019	257	96	47	114
16020	242	60	37	145
16021	231	109	28	94
16022	245	110	35	100
16023	247	79	48	120
16024	176	79	27	70
16025	291	86	58	147
16026	236	43	29	164
16027	236	107	23	106
16028	256	116	48	92
16029	235	108	34	93
16030	209	80	32	97
16031	271	98	33	140
16032	278	106	53	119
16033	240	105	22	113
16034	254	116	36	102
16035	269	88	61	120
16036	200	55	36	109
