Precinct	total_votes	votes|Andrew Devito	votes|Tim Heneghan	votes|Goran Davidovac
41001	230	73	139	18
41002	274	67	201	6
41003	230	85	120	25
41004	295	53	234	8
41005	298	65	211	22
41006	351	92	233	26
41007	283	71	202	10
41008	228	60	160	8
41009	248	120	104	24
41010	295	44	241	10
41011	279	74	182	23
41012	255	107	112	36
41013	254	88	147	19
41014	321	96	187	38
41015	332	81	235	16
41016	218	65	140	13
41017	228	71	143	14
41018	235	92	131	12
41019	284	85	157	42
41020	171	43	112	16
41021	230	76	140	14
41022	258	67	172	19
41023	214	132	72	10
41024	209	85	100	24
41025	144	71	52	21
41026	269	90	153	26
41027	171	114	44	13
41028	185	91	64	30
41029	135	77	41	17
41030	259	107	125	27
41031	247	70	164	13
41032	202	65	116	21
41033	240	119	105	16
41034	204	92	103	9
41035	292	92	187	13
41036	230	73	144	13
41037	271	81	177	13
41038	223	97	107	19
41039	269	91	140	38
41040	258	66	179	13
41041	231	123	97	11
41042	237	51	175	11
41043	259	138	107	14
41044	266	73	185	8
41045	219	83	121	15
41046	285	98	162	25
41047	257	67	164	26
