Precinct	total_votes	votes|Paul Rosenfeld
47001	143	143
47002	274	274
47003	286	286
47004	260	260
47005	276	276
47006	274	274
47007	264	264
47008	253	253
47009	200	200
47010	369	369
47011	208	208
47012	256	256
47013	296	296
47014	220	220
47015	368	368
47016	286	286
47017	284	284
47018	255	255
47019	359	359
47020	267	267
47021	252	252
47022	307	307
47023	341	341
47024	251	251
47025	297	297
47026	344	344
47027	240	240
47028	293	293
47029	291	291
47030	335	335
47031	280	280
47032	345	345
47033	227	227
47034	326	326
47035	239	239
47036	342	342
47037	284	284
47038	263	263
47039	279	279
47040	256	256
47041	290	290
47042	271	271
47043	232	232
47044	198	198
47045	290	290
47046	264	264
47047	268	268
47048	29	29
