Precinct	total_votes	votes|Ira I. Silverstein
50001	142	142
50002	119	119
50003	179	179
50004	217	217
50005	104	104
50006	244	244
50007	276	276
50008	190	190
50009	174	174
50010	171	171
50011	78	78
50012	80	80
50013	257	257
50014	56	56
50015	275	275
50016	58	58
50017	154	154
50018	29	29
50019	143	143
50020	227	227
50021	185	185
50022	141	141
50023	112	112
50024	110	110
50025	126	126
50026	202	202
50027	63	63
50028	209	209
50029	170	170
50030	153	153
50031	248	248
50032	225	225
50033	120	120
50034	261	261
50035	283	283
50036	208	208
50037	258	258
50038	109	109
50039	112	112
50040	131	131
