Precinct	total_votes	votes|Gregory Harris
33018	131	131
39013	26	26
39022	180	180
39030	89	89
40001	212	212
40002	233	233
40003	360	360
40004	32	32
40005	294	294
40006	344	344
40007	320	320
40008	408	408
40009	195	195
40010	64	64
40011	272	272
40012	221	221
40013	465	465
40014	224	224
40015	240	240
40016	382	382
40017	231	231
40018	226	226
40019	337	337
40020	249	249
40021	347	347
40022	297	297
40023	371	371
40024	195	195
40025	390	390
40026	320	320
40027	407	407
40029	201	201
40030	234	234
40031	355	355
40032	330	330
40033	318	318
40034	214	214
40035	195	195
40036	260	260
40037	272	272
40038	387	387
40039	40	40
46001	235	235
46002	286	286
46004	301	301
46006	259	259
46008	223	223
46012	335	335
46014	280	280
46016	354	354
46020	276	276
46021	217	217
46022	212	212
46023	266	266
46025	294	294
46026	169	169
46029	167	167
46032	298	298
46037	181	181
46040	276	276
47005	250	250
47010	433	433
47015	447	447
47019	450	450
47020	316	316
47022	364	364
47023	410	410
47026	415	415
47028	318	318
47030	394	394
47031	323	323
47032	404	404
47034	380	380
47036	408	408
47037	337	337
47038	310	310
47039	3	3
47041	310	310
47042	325	325
47045	339	339
48004	315	315
48007	1	1
48014	74	74
48017	319	319
48020	249	249
48021	373	373
48023	333	333
48024	301	301
48035	221	221
48038	99	99
