Precinct	total_votes	votes|Barbara Flynn Currie
04001	442	442
04005	377	377
04009	473	473
04010	438	438
04015	366	366
04022	393	393
04023	383	383
04027	419	419
04031	402	402
04034	72	72
05001	283	283
05003	363	363
05007	348	348
05008	378	378
05009	421	421
05011	366	366
05014	270	270
05017	278	278
05018	322	322
05019	346	346
05020	387	387
05021	214	214
05022	398	398
05023	576	576
05024	393	393
05025	328	328
05026	338	338
05027	331	331
05028	196	196
05029	395	395
05031	281	281
05032	396	396
05033	353	353
05034	430	430
05035	376	376
05037	351	351
05038	345	345
05039	294	294
05040	260	260
05041	205	205
07005	220	220
07006	352	352
07007	254	254
07008	228	228
07009	415	415
07011	303	303
07012	267	267
07013	175	175
07014	295	295
07016	248	248
07017	249	249
07018	227	227
07021	167	167
07022	204	204
07025	111	111
07032	218	218
07033	341	341
07034	322	322
07035	258	258
07037	278	278
07046	123	123
10001	241	241
10004	206	206
10006	204	204
10007	170	170
10008	192	192
10010	242	242
10011	290	290
10012	165	165
10014	301	301
10019	207	207
10020	229	229
10021	269	269
10022	156	156
10023	240	240
10025	87	87
10026	193	193
10028	280	280
10029	225	225
10030	227	227
10031	205	205
10032	233	233
10033	170	170
10034	15	15
10035	223	223
10036	55	55
20024	178	178
20026	322	322
20034	398	398
