Precinct	total_votes	votes|Darryl D. Smith	votes|Kenyatta Nicole Vaughn	votes|Genita C. Robinson	votes|Sonya Marie Harper
03001	101	31	41	13	16
03003	290	76	60	77	77
03005	301	85	56	66	94
03010	212	60	57	23	72
03013	346	46	42	158	100
03018	349	140	89	55	65
03026	407	42	44	251	70
03029	69	13	16	18	22
03036	24	6	2	5	11
03041	127	36	27	23	41
04013	277	52	55	80	90
04016	102	17	5	54	26
04017	381	48	52	170	111
04020	307	31	45	172	59
04021	203	29	30	71	73
04037	367	32	42	198	95
06015	112	38	37	11	26
06018	29	6	15	5	3
06028	70	32	20	6	12
11012	430	45	17	111	257
11013	369	29	27	81	232
11021	421	41	22	91	267
11024	405	44	30	43	288
11028	152	33	5	16	98
11029	328	31	21	56	220
11031	274	40	16	66	152
11032	143	6	14	28	95
11034	86	21	14	7	44
11035	82	14	8	15	45
15001	273	67	26	91	89
15002	221	63	69	36	53
15003	187	51	30	34	72
15005	59	10	4	24	21
15007	175	38	45	36	56
15013	154	44	21	41	48
15014	37	9	4	7	17
15017	221	71	41	45	64
15018	263	82	79	41	61
15020	218	51	47	37	83
15021	255	66	45	23	121
15022	26	6	11	5	4
15023	264	54	50	42	118
15024	245	73	48	30	94
16002	231	70	57	33	71
16003	262	93	50	46	73
16004	222	76	63	39	44
16005	263	102	68	33	60
16006	118	39	35	24	20
16008	205	66	59	36	44
16009	310	96	92	40	82
16010	261	76	48	45	92
16012	262	82	55	27	98
16014	240	89	81	37	33
16015	308	110	93	49	56
16017	107	35	16	13	43
16018	277	70	62	67	78
16019	287	89	72	56	70
16020	237	71	63	37	66
16021	226	68	65	46	47
16022	262	85	74	46	57
16025	298	107	93	45	53
16026	248	75	64	57	52
16027	269	137	73	26	33
16028	277	134	61	33	49
16030	154	65	39	14	36
16031	304	106	74	17	107
16033	169	43	59	36	31
16034	274	94	97	33	50
16036	210	70	65	33	42
17001	1	1	0	0	0
17006	308	50	83	53	122
17008	293	71	99	38	85
17016	94	15	20	18	41
17017	78	22	33	7	16
17025	272	58	61	48	105
18050	88	13	17	20	38
20002	153	49	36	38	30
20004	158	53	32	25	48
20006	188	44	39	67	38
20013	368	108	127	58	75
20015	299	71	46	70	112
20017	180	52	39	50	39
20020	247	60	38	47	102
20021	276	78	51	51	96
20025	278	68	60	66	84
20027	209	79	60	28	42
20029	374	106	127	54	87
20032	340	111	60	56	113
20036	125	29	39	11	46
20038	139	58	28	22	31
20039	44	23	11	3	7
25014	3	2	0	0	1
25021	378	58	74	129	117
25027	93	22	20	26	25
42005	143	19	17	44	63
42009	257	53	40	59	105
42010	68	22	7	16	23
42012	75	11	8	33	23
42014	51	6	4	27	14
42015	94	13	8	30	43
42017	216	41	23	76	76
42018	205	44	34	71	56
42021	128	22	11	52	43
42033	0	0	0	0	0
42036	187	24	28	62	73
42037	127	26	13	37	51
42038	169	28	16	60	65
42041	133	18	14	37	64
