Precinct	total_votes	votes|André Thapedi
06004	208	208
06005	202	202
06006	287	287
06007	281	281
06009	292	292
06011	281	281
06012	239	239
06015	151	151
06018	149	149
06019	143	143
06021	171	171
06022	9	9
06023	178	178
06024	172	172
06026	147	147
06028	95	95
06030	246	246
06032	262	262
06033	310	310
06040	251	251
06047	229	229
06048	298	298
08026	1	1
15007	61	61
15022	168	168
16006	134	134
16016	222	222
16024	150	150
16029	186	186
16030	65	65
16033	57	57
17001	8	8
17003	256	256
17008	24	24
17011	44	44
17013	189	189
17017	189	189
17019	171	171
17030	134	134
17031	163	163
17032	52	52
17033	166	166
17034	39	39
17035	210	210
17036	279	279
17037	23	23
18001	275	275
18002	238	238
18003	198	198
18005	180	180
18006	87	87
18011	232	232
18012	79	79
18015	41	41
18017	295	295
18021	119	119
18023	265	265
18024	243	243
18025	234	234
18027	213	213
18028	214	214
18029	282	282
18030	267	267
18031	323	323
18033	216	216
18039	223	223
18040	294	294
18042	232	232
18043	18	18
18044	201	201
18045	242	242
18046	95	95
18047	206	206
18048	238	238
18049	196	196
18050	122	122
20008	32	32
20028	184	184
