Precinct	total_votes	votes|Roberto Maldonado
26001	194	194
26002	178	178
26003	188	188
26004	177	177
26005	217	217
26006	224	224
26007	177	177
26008	124	124
26009	195	195
26010	218	218
26011	226	226
26012	218	218
26013	153	153
26014	170	170
26015	133	133
26016	138	138
26017	130	130
26018	204	204
26019	137	137
26020	204	204
26021	264	264
26022	143	143
26023	154	154
26024	183	183
26025	176	176
26026	129	129
26027	205	205
26028	200	200
26029	116	116
26030	167	167
26031	105	105
26032	209	209
26033	201	201
26034	229	229
26035	183	183
26036	189	189
26037	231	231
26038	114	114
26039	194	194
26040	124	124
26041	234	234
26042	157	157
26043	133	133
26044	145	145
26045	101	101
26046	116	116
26047	141	141
26048	180	180
26049	141	141
