Precinct	total_votes	votes|Andrew Seo	votes|Tom Greenhaw	votes|Martin J. Durkan
01001	306	104	127	75
01002	304	94	115	95
01003	252	101	95	56
01004	238	68	93	77
01005	221	88	73	60
01006	257	86	101	70
01007	212	61	95	56
01008	211	53	85	73
01009	240	88	88	64
01010	217	68	101	48
01011	249	94	102	53
01012	274	102	105	67
01013	120	33	44	43
01014	259	80	112	67
01015	260	96	87	77
01016	261	97	97	67
01017	273	89	110	74
01018	295	107	126	62
01019	342	115	139	88
01020	236	84	93	59
01021	222	68	101	53
01022	200	77	80	43
01023	410	160	175	75
01024	269	88	92	89
01025	268	98	105	65
01026	241	100	60	81
01027	263	103	96	64
01028	102	38	32	32
01029	245	85	91	69
01030	299	96	111	92
01031	298	98	119	81
01032	246	72	99	75
01033	242	74	99	69
01034	234	103	83	48
01035	277	96	108	73
01036	214	75	90	49
01037	242	89	85	68
01038	256	92	103	61
01039	217	77	82	58
01040	256	74	101	81
01041	183	69	70	44
01042	89	24	42	23
01043	207	77	81	49
01044	243	94	107	42
02001	225	77	102	46
02002	124	42	59	23
02003	248	71	123	54
02004	209	86	79	44
02005	256	87	98	71
02006	276	82	121	73
02007	208	73	80	55
02008	230	74	91	65
02009	132	46	52	34
02010	147	42	61	44
02011	152	45	66	41
02012	234	57	98	79
02013	194	55	97	42
02014	272	109	110	53
02015	215	70	85	60
02016	197	65	89	43
02017	285	110	111	64
02018	189	65	70	54
02019	129	29	68	32
02020	175	56	76	43
02021	239	80	101	58
02022	176	46	78	52
02023	109	24	56	29
02024	166	45	74	47
02025	214	76	87	51
02026	174	55	59	60
02027	160	50	65	45
02028	205	68	85	52
02029	186	69	73	44
02030	168	54	76	38
02031	225	62	92	71
02032	155	44	69	42
02033	282	78	137	67
02034	155	40	78	37
02035	175	63	65	47
02036	144	49	60	35
02037	198	63	88	47
02038	160	45	71	44
02039	124	43	43	38
02040	182	58	79	45
02041	141	54	57	30
02042	195	66	77	52
02043	206	77	89	40
02044	107	31	44	32
02045	244	76	100	68
02046	112	35	42	35
03001	438	105	131	202
03002	437	108	167	162
03003	260	78	82	100
03004	370	96	114	160
03005	266	59	80	127
03006	257	94	92	71
03007	266	120	72	74
03008	341	76	94	171
03009	348	102	109	137
03010	198	32	73	93
03011	369	87	133	149
03012	364	95	121	148
03013	304	131	113	60
03014	289	93	114	82
03015	355	82	107	166
03016	344	88	104	152
03017	302	94	104	104
03018	516	145	136	235
03019	244	84	91	69
03020	369	109	115	145
03021	269	81	103	85
03022	308	124	108	76
03023	323	82	97	144
03024	321	71	117	133
03025	320	117	129	74
03026	325	119	128	78
03027	248	86	94	68
03028	239	56	86	97
03029	340	91	112	137
03030	312	77	101	134
03031	424	108	123	193
03032	281	80	126	75
03033	277	101	98	78
03034	326	114	119	93
03035	158	45	56	57
03036	210	40	72	98
03037	282	79	89	114
03038	304	70	114	120
03039	274	104	124	46
03040	344	85	135	124
03041	272	86	100	86
04001	375	129	168	78
04002	284	114	114	56
04003	327	69	120	138
04004	478	122	135	221
04005	337	100	104	133
04006	418	108	167	143
04007	411	117	137	157
04008	414	93	172	149
04009	409	114	153	142
04010	402	128	151	123
04011	386	81	139	166
04012	412	126	126	160
04013	237	94	87	56
04014	348	81	123	144
04015	451	130	147	174
04016	347	135	148	64
04017	329	127	143	59
04018	317	74	108	135
04019	340	62	120	158
04020	253	73	118	62
04021	346	135	128	83
04022	334	96	138	100
04023	430	136	199	95
04024	324	99	127	98
04025	288	93	131	64
04026	352	85	126	141
04027	375	125	144	106
04028	340	107	127	106
04029	348	90	115	143
04030	479	117	148	214
04031	358	96	159	103
04032	371	96	118	157
04033	376	99	139	138
04034	307	81	101	125
04035	454	134	141	179
04036	374	99	135	140
04037	306	92	140	74
04038	409	132	155	122
05001	297	79	100	118
05002	314	88	95	131
05003	298	121	119	58
05004	369	130	121	118
05005	299	68	92	139
05006	289	77	88	124
05007	322	94	119	109
05008	289	89	147	53
05009	361	131	154	76
05010	298	78	90	130
05011	316	102	137	77
05012	258	60	67	131
05013	287	79	96	112
05014	300	95	87	118
05015	313	92	98	123
05016	320	83	94	143
05017	319	69	107	143
05018	287	105	106	76
05019	290	91	128	71
05020	338	130	134	74
05021	306	117	123	66
05022	342	107	151	84
05023	473	140	232	101
05024	339	114	134	91
05025	300	89	105	106
05026	319	87	104	128
05027	243	74	125	44
05028	358	110	130	118
05029	371	121	122	128
05030	267	78	64	125
05031	281	69	88	124
05032	373	104	143	126
05033	348	81	132	135
05034	320	91	169	60
05035	313	116	149	48
05036	270	55	88	127
05037	291	78	146	67
05038	349	114	84	151
05039	227	65	106	56
05040	259	83	83	93
05041	164	52	75	37
06001	331	74	128	129
06002	319	76	112	131
06003	326	77	127	122
06004	240	44	88	108
06005	212	47	77	88
06006	303	80	120	103
06007	329	74	126	129
06008	336	71	133	132
06009	325	74	104	147
06010	220	52	77	91
06011	330	125	93	112
06012	260	56	96	108
06013	232	65	76	91
06014	285	92	77	116
06015	269	64	93	112
06016	316	81	122	113
06017	239	41	84	114
06018	206	52	51	103
06019	292	62	93	137
06020	197	41	50	106
06021	198	55	50	93
06022	204	44	69	91
06023	180	43	55	82
06024	204	55	67	82
06025	201	54	73	74
06026	249	55	76	118
06027	207	43	77	87
06028	162	38	63	61
06029	316	60	134	122
06030	261	51	90	120
06031	311	101	117	93
06032	270	65	102	103
06033	325	98	103	124
06034	315	86	110	119
06035	294	72	88	134
06036	349	92	115	142
06037	318	74	113	131
06038	322	88	109	125
06039	294	88	85	121
06040	272	64	94	114
06041	335	86	95	154
06042	325	65	118	142
06043	242	61	79	102
06044	300	68	74	158
06045	332	80	106	146
06046	213	62	61	90
06047	249	64	77	108
06048	318	90	98	130
07001	280	58	78	144
07002	287	73	75	139
07003	278	83	83	112
07004	304	77	91	136
07005	211	46	65	100
07006	351	111	117	123
07007	270	62	88	120
07008	241	67	82	92
07009	411	104	145	162
07010	324	69	120	135
07011	344	80	115	149
07012	275	68	84	123
07013	175	44	54	77
07014	303	70	83	150
07015	299	64	100	135
07016	258	62	86	110
07017	246	67	85	94
07018	220	62	62	96
07019	299	68	90	141
07020	216	42	60	114
07021	226	55	84	87
07022	223	74	55	94
07023	310	62	109	139
07024	267	67	87	113
07025	291	76	90	125
07026	261	61	82	118
07027	252	32	95	125
07028	199	42	65	92
07029	238	48	72	118
07030	220	52	73	95
07031	179	43	50	86
07032	395	101	146	148
07033	386	76	172	138
07034	326	74	113	139
07035	270	54	95	121
07036	370	82	116	172
