Precinct	total_votes	votes|John P. Daley
11001	261	261
11002	36	36
11003	207	207
11004	258	258
11005	321	321
11006	262	262
11007	406	406
11008	267	267
11009	245	245
11010	246	246
11011	241	241
11012	405	405
11013	351	351
11014	129	129
11015	105	105
11016	188	188
11017	305	305
11018	250	250
11019	351	351
11020	202	202
11021	434	434
11022	360	360
11023	176	176
11024	423	423
11025	324	324
11026	342	342
11027	100	100
11028	144	144
11029	321	321
11030	128	128
11031	261	261
11032	141	141
11033	217	217
11034	83	83
11035	74	74
11036	110	110
11037	67	67
11038	129	129
