Precinct	total_votes	votes|Cynthia Soto
01001	509	509
01003	593	593
01004	550	550
01005	542	542
01006	490	490
01008	38	38
01010	637	637
01011	420	420
01014	534	534
01015	472	472
01017	304	304
01018	544	544
01020	422	422
01021	547	547
01022	339	339
01024	455	455
01025	477	477
01026	274	274
01027	524	524
01029	494	494
01030	585	585
01031	503	503
01032	397	397
01033	504	504
01035	629	629
01036	527	527
01037	360	360
01038	525	525
01039	423	423
01040	470	470
01044	448	448
02001	175	175
02003	588	588
02004	444	444
02005	603	603
02014	540	540
02015	56	56
02016	466	466
02017	86	86
02021	520	520
26001	381	381
26002	341	341
26003	423	423
26004	195	195
26005	336	336
26006	309	309
26008	200	200
26009	322	322
26010	342	342
26011	329	329
26012	389	389
26013	216	216
26014	283	283
26015	218	218
26016	228	228
26018	295	295
26019	164	164
26020	307	307
26021	481	481
26022	235	235
26023	235	235
26024	346	346
26025	328	328
26026	268	268
26027	378	378
26028	73	73
26029	213	213
26030	285	285
26031	182	182
26032	403	403
26033	345	345
26034	23	23
26035	314	314
26036	360	360
26038	209	209
26039	372	372
26040	253	253
26041	414	414
26042	276	276
26043	235	235
26044	207	207
26045	196	196
26047	262	262
26048	354	354
26049	206	206
27005	3	3
27007	613	613
27013	112	112
27024	31	31
27027	23	23
27040	76	76
27043	9	9
31004	134	134
31016	179	179
35003	305	305
35012	337	337
35013	343	343
35016	318	318
35019	108	108
35021	355	355
36012	134	134
37012	214	214
37022	38	38
