Precinct	total_votes	votes|Jacob Meister	votes|Dorothy A. Brown	votes|Michelle A. Harris
01001	345	136	119	90
01002	335	113	140	82
01003	294	112	100	82
01004	274	95	102	77
01005	273	98	113	62
01006	293	101	117	75
01007	229	121	62	46
01008	242	91	101	50
01009	266	111	89	66
01010	270	124	78	68
01011	278	120	86	72
01012	300	101	117	82
01013	135	65	52	18
01014	310	131	110	69
01015	298	100	120	78
01016	289	108	108	73
01017	321	107	133	81
01018	333	115	141	77
01019	398	159	141	98
01020	256	93	88	75
01021	258	114	80	64
01022	235	80	104	51
01023	465	197	148	120
01024	315	74	157	84
01025	314	103	135	76
01026	266	63	126	77
01027	302	116	114	72
01028	123	24	72	27
01029	291	132	98	61
01030	344	126	141	77
01031	337	111	139	87
01032	278	110	96	72
01033	296	116	93	87
01034	277	104	110	63
01035	323	103	112	108
01036	237	107	72	58
01037	276	85	91	100
01038	282	119	93	70
01039	252	92	97	63
01040	291	93	130	68
01041	210	86	71	53
01042	100	45	37	18
01043	239	93	84	62
01044	270	108	95	67
02001	271	103	81	87
02002	168	73	40	55
02003	278	118	85	75
02004	244	105	74	65
02005	293	111	90	92
02006	299	95	98	106
02007	248	82	106	60
02008	271	89	94	88
02009	174	52	72	50
02010	188	83	48	57
02011	198	93	51	54
02012	295	64	141	90
02013	227	108	58	61
02014	314	107	109	98
02015	250	94	81	75
02016	228	75	82	71
02017	323	130	109	84
02018	221	93	62	66
02019	150	82	36	32
02020	202	80	64	58
02021	285	110	95	80
02022	221	108	51	62
02023	146	79	28	39
02024	204	64	89	51
02025	244	102	63	79
02026	214	67	89	58
02027	189	90	47	52
02028	230	89	65	76
02029	212	76	73	63
02030	196	90	52	54
02031	270	121	70	79
02032	176	54	58	64
02033	323	168	80	75
02034	182	94	44	44
02035	211	77	78	56
02036	182	71	60	51
02037	227	101	61	65
02038	196	96	59	41
02039	142	43	60	39
02040	200	65	74	61
02041	161	51	55	55
02042	237	72	96	69
02043	246	108	72	66
02044	130	64	23	43
02045	273	68	125	80
02046	130	45	45	40
03001	543	22	383	138
03002	548	34	392	122
03003	328	40	205	83
03004	459	20	301	138
03005	313	13	216	84
03006	309	94	100	115
03007	322	17	228	77
03008	418	17	307	94
03009	431	18	284	129
03010	231	12	149	70
03011	444	21	300	123
03012	453	27	292	134
03013	350	109	121	120
03014	328	57	166	105
03015	440	8	316	116
03016	423	19	287	117
03017	364	37	201	126
03018	610	41	401	168
03019	290	80	105	105
03020	461	30	316	115
03021	326	65	145	116
03022	358	90	138	130
03023	405	14	295	96
03024	381	22	251	108
03025	387	139	116	132
03026	383	149	132	102
03027	289	77	105	107
03028	296	14	195	87
03029	445	20	316	109
03030	410	18	284	108
03031	512	28	341	143
03032	341	81	153	107
03033	320	94	120	106
03034	375	87	170	118
03035	198	12	132	54
03036	257	16	196	45
03037	373	21	264	88
03038	369	13	250	106
03039	328	113	111	104
03040	420	42	255	123
03041	328	32	195	101
04001	438	96	178	164
04002	329	112	109	108
04003	413	20	267	126
04004	591	32	368	191
04005	433	28	248	157
04006	504	32	298	174
04007	502	26	301	175
04008	494	26	296	172
