Precinct	total_votes	votes|Kevin Mcdevitt	votes|Barbara Mcgowan	votes|Mariyana T. Spyropoulos	votes|Josina Morita	votes|R. Cary Capparelli	votes|Joseph Daniel Cook
05013	668	125	202	93	91	31	126
05014	748	97	235	127	136	30	123
05015	767	98	211	135	164	36	123
05016	727	130	202	115	91	40	149
05017	641	120	185	83	91	30	132
05018	715	79	186	170	160	42	78
05019	765	54	201	200	198	50	62
05020	894	115	244	182	204	45	104
05021	800	80	204	204	188	51	73
05022	901	95	231	216	221	51	87
05023	1232	100	324	306	307	78	117
05024	887	102	239	214	183	56	93
05025	731	108	224	114	130	34	121
05026	762	129	226	126	104	41	136
05027	660	44	161	182	175	54	44
05028	877	135	267	132	152	41	150
05029	942	142	282	137	179	47	155
05030	618	126	176	89	75	29	123
05031	623	106	186	90	90	29	122
05032	925	118	280	164	176	41	146
05033	802	137	253	117	107	39	149
05034	872	52	208	254	237	62	59
05035	874	71	222	232	227	59	63
05036	553	97	156	62	82	28	128
05037	802	90	207	203	173	51	78
05038	746	128	222	98	101	38	159
05039	603	54	153	150	153	34	59
05040	609	96	189	85	101	34	104
05041	462	49	136	99	107	23	48
06001	778	129	237	125	117	29	141
06002	783	132	232	120	124	28	147
06003	797	135	236	125	128	31	142
06004	517	100	149	74	63	28	103
06005	500	82	147	72	68	34	97
06006	736	118	218	144	106	25	125
06007	747	129	207	126	104	34	147
06008	791	143	224	136	131	25	132
06009	706	138	206	92	96	40	134
06010	500	90	136	85	61	26	102
06011	733	134	207	108	100	49	135
06012	564	106	154	86	69	35	114
06013	585	90	168	89	96	31	111
06014	621	105	176	93	87	32	128
06015	549	85	172	86	76	25	105
06016	792	102	237	157	136	33	127
06017	565	100	149	83	85	17	131
06018	441	88	115	65	54	28	91
06019	675	113	188	113	107	26	128
06020	417	72	118	64	65	22	76
06021	408	70	112	56	61	23	86
06022	445	85	137	64	52	20	87
06023	387	71	105	60	55	27	69
06024	445	80	115	70	66	24	90
06025	432	69	123	77	66	13	84
06026	541	91	149	88	67	27	119
06027	435	71	133	64	67	21	79
06028	327	65	100	51	40	12	59
06029	805	108	242	142	130	28	155
06030	606	99	177	94	89	33	114
06031	782	128	229	136	136	29	124
06032	641	93	190	109	114	24	111
06033	719	124	211	112	98	37	137
06034	746	110	239	112	129	26	130
06035	692	133	197	110	94	31	127
06036	819	130	255	128	129	31	146
06037	819	113	249	144	148	21	144
06038	811	116	248	136	131	42	138
06039	643	97	195	106	89	37	119
06040	639	107	193	109	102	25	103
06041	784	140	217	123	107	37	160
06042	750	126	213	114	114	34	149
06043	614	102	196	94	79	22	121
06044	719	132	218	94	95	27	153
06045	811	126	244	144	118	32	147
06046	501	80	161	73	80	27	80
