Precinct	total_votes	votes|Cynthia Soto	votes|Robert Zwolinski (Bob Z)
01001	366	296	70
01003	337	234	103
01004	309	207	102
01005	286	216	70
01006	334	256	78
01008	61	52	9
01010	295	219	76
01011	264	194	70
01014	330	249	81
01015	315	237	78
01017	305	256	49
01018	367	280	87
01020	272	225	47
01021	287	224	63
01022	243	206	37
01024	331	263	68
01025	339	273	66
01026	233	200	33
01027	316	266	50
01029	292	226	66
01030	376	300	76
01031	345	275	70
01032	231	166	65
01033	324	223	101
01035	389	243	146
01036	292	190	102
01037	250	178	72
01038	316	240	76
01039	282	218	64
01040	322	197	125
01044	290	218	72
02001	85	58	27
02003	326	219	107
02004	286	183	103
02005	334	248	86
02014	354	246	108
02015	33	24	9
02016	265	181	84
02017	183	126	57
02021	310	207	103
26001	263	204	59
26002	238	201	37
26003	263	204	59
26004	145	127	18
26005	261	226	35
26006	254	223	31
26008	148	131	17
26009	246	212	34
26010	271	221	50
26011	259	219	40
26012	273	241	32
26013	191	168	23
26014	218	191	27
26015	149	142	7
26016	165	146	19
26018	239	203	36
26019	95	84	11
26020	245	201	44
26021	337	267	70
26022	167	156	11
26023	179	160	19
26024	218	187	31
26025	228	190	38
26026	180	146	34
26027	288	235	53
26028	30	24	6
26029	159	138	21
26030	207	187	20
26031	135	119	16
26032	264	214	50
26033	268	219	49
26034	20	16	4
26035	234	202	32
26036	242	182	60
26038	142	132	10
26039	245	183	62
26040	162	139	23
26041	282	252	30
26042	200	180	20
26043	159	138	21
26044	170	159	11
26045	122	107	15
26047	169	149	20
26048	242	184	58
26049	165	143	22
27005	12	9	3
27007	377	289	88
27013	157	123	34
27024	37	35	2
27027	26	21	5
27040	136	117	19
27043	4	4	0
31004	100	87	13
31016	134	114	20
35003	235	197	38
35012	242	210	32
35013	244	221	23
35016	245	220	25
35019	73	64	9
35021	236	197	39
36012	38	37	1
37012	80	74	6
37022	43	36	7
