Precinct	total_votes	votes|Michelle A. Harris
08001	230	230
08002	302	302
08003	334	334
08004	347	347
08005	325	325
08006	319	319
08007	350	350
08008	292	292
08009	206	206
08010	357	357
08011	278	278
08012	266	266
08013	338	338
08014	247	247
08015	284	284
08016	130	130
08017	279	279
08018	294	294
08019	359	359
08020	329	329
08021	357	357
08022	262	262
08023	253	253
08024	169	169
08025	296	296
08026	307	307
08027	344	344
08028	309	309
08029	354	354
08030	330	330
08031	229	229
08032	260	260
08033	279	279
08034	277	277
08035	305	305
08036	328	328
08037	250	250
08038	186	186
08039	314	314
08040	239	239
08041	292	292
08042	388	388
08043	145	145
08044	224	224
08045	305	305
08046	235	235
08047	242	242
08048	300	300
08049	285	285
08050	318	318
08051	319	319
08052	392	392
08053	172	172
08054	275	275
08055	239	239
08056	301	301
