Precinct	Register Voters	Ballots Cast	Turnout %
01001	894	637	71.25
01002	837	601	71.80
01003	1001	749	74.83
01004	921	721	78.28
01005	939	715	76.14
01006	845	648	76.69
01007	556	455	81.83
01008	795	622	78.24
01009	658	551	83.74
01010	985	798	81.02
01011	919	716	77.91
01012	1042	748	71.79
01013	411	286	69.59
01014	855	660	77.19
01015	799	591	73.97
01016	729	606	83.13
01017	768	558	72.66
01018	936	674	72.01
01019	998	795	79.66
01020	697	507	72.74
01021	972	770	79.22
01022	588	411	69.90
01023	1103	837	75.88
01024	913	579	63.42
01025	864	604	69.91
01026	706	441	62.46
01027	919	673	73.23
01028	331	227	68.58
01029	794	630	79.35
01030	990	727	73.43
01031	910	647	71.10
01032	823	629	76.43
01033	972	719	73.97
01034	716	561	78.35
01035	1009	810	80.28
01036	884	688	77.83
01037	845	655	77.51
01038	841	660	78.48
01039	807	563	69.76
01040	875	650	74.29
01041	443	347	78.33
01042	251	192	76.49
01043	568	425	74.82
01044	677	533	78.73
02001	979	716	73.14
02002	653	533	81.62
02003	914	781	85.45
02004	825	602	72.97
02005	996	793	79.62
02006	910	657	72.20
02007	960	651	67.81
02008	1085	801	73.82
02009	776	623	80.28
02010	715	597	83.50
02011	797	673	84.44
02012	789	618	78.33
02013	704	616	87.50
02014	907	688	75.85
02015	870	651	74.83
02016	868	622	71.66
02017	1001	745	74.43
02018	767	670	87.35
02019	576	488	84.72
02020	1058	786	74.29
02021	878	655	74.60
02022	827	715	86.46
02023	566	462	81.63
02024	772	647	83.81
02025	909	762	83.83
02026	806	615	76.30
02027	752	666	88.56
02028	912	770	84.43
02029	886	745	84.09
02030	720	581	80.69
02031	995	831	83.52
02032	739	622	84.17
02033	1121	980	87.42
02034	631	545	86.37
02035	1096	909	82.94
02036	649	562	86.59
02037	673	590	87.67
02038	725	645	88.97
02039	654	495	75.69
02040	985	826	83.86
02041	1032	744	72.09
02042	923	789	85.48
02043	1098	951	86.61
02044	493	442	89.66
02045	870	660	75.86
02046	534	421	78.84
03001	1081	743	68.73
03002	808	684	84.65
03003	838	615	73.39
03004	880	640	72.73
03005	710	463	65.21
03006	942	773	82.06
03007	590	430	72.88
03008	884	627	70.93
03009	841	602	71.58
03010	645	363	56.28
03011	855	626	73.22
03012	756	567	75.00
03013	862	742	86.08
03014	876	690	78.77
03015	878	651	74.15
03016	900	602	66.89
03017	997	784	78.64
03018	1306	912	69.83
03019	871	749	85.99
03020	923	646	69.99
03021	843	710	84.22
03022	1097	888	80.95
03023	842	574	68.17
03024	832	583	70.07
03025	1255	1040	82.87
03026	866	737	85.10
03027	976	802	82.17
03028	637	384	60.28
03029	1081	725	67.07
03030	800	579	72.38
03031	966	775	80.23
03032	927	781	84.25
03033	955	800	83.77
03034	1010	822	81.39
03035	610	316	51.80
03036	665	404	60.75
03037	841	573	68.13
03038	658	502	76.29
03039	1056	874	82.77
03040	909	714	78.55
03041	800	535	66.88
04001	949	797	83.98
04002	948	800	84.39
04003	826	607	73.49
04004	1129	838	74.22
04005	786	597	75.95
04006	934	734	78.59
04007	942	725	76.96
04008	891	688	77.22
04009	815	647	79.39
04010	920	687	74.67
04011	932	700	75.11
04012	955	682	71.41
04013	898	744	82.85
04014	832	641	77.04
04015	1002	760	75.85
04016	1042	945	90.69
04017	944	862	91.31
04018	827	573	69.29
04019	933	633	67.85
04020	708	587	82.91
04021	1046	895	85.56
04022	826	631	76.39
04023	999	818	81.88
04024	834	577	69.18
