Precinct	total_votes	votes|Emma M. Mitts
37001	217	217
37002	158	158
37003	216	216
37004	222	222
37005	270	270
37006	247	247
37007	192	192
37008	189	189
37009	264	264
37010	294	294
37011	209	209
37012	205	205
37013	200	200
37014	266	266
37015	294	294
37016	278	278
37017	268	268
37018	256	256
37019	208	208
37020	260	260
37021	217	217
37022	250	250
37023	279	279
37024	260	260
37025	253	253
37026	332	332
37027	228	228
37028	225	225
37029	268	268
37030	275	275
37031	290	290
37032	223	223
37033	262	262
37034	253	253
37035	254	254
37036	259	259
37037	290	290
37038	286	286
37039	240	240
37040	286	286
37041	250	250
