Precinct	total_votes	votes|Silvana Tabares
12002	341	341
12006	384	384
12007	419	419
12010	390	390
12011	417	417
12012	417	417
12013	87	87
12014	383	383
12015	360	360
12016	371	371
12017	273	273
12018	359	359
12020	514	514
12022	394	394
14001	30	30
15006	418	418
15009	53	53
15010	284	284
15011	217	217
15012	55	55
22004	132	132
22005	9	9
22007	55	55
22010	531	531
22013	219	219
22014	304	304
22015	280	280
22016	304	304
22017	53	53
22018	210	210
22019	2	2
22022	342	342
23001	114	114
23012	297	297
23016	308	308
23021	319	319
23027	298	298
23036	322	322
23037	193	193
24016	369	369
