Precinct	total_votes	votes|Elgie R. Sims, Jr.
06001	340	340
06002	313	313
06003	316	316
06008	324	324
06013	236	236
06014	271	271
06016	319	319
06019	45	45
06029	325	325
06031	314	314
06034	311	311
06035	275	275
06036	344	344
06037	327	327
06038	332	332
06039	274	274
06041	328	328
06042	310	310
06043	242	242
06044	289	289
06045	328	328
06046	204	204
08015	36	36
08022	260	260
08026	140	140
08031	243	243
08032	228	228
08034	271	271
08039	306	306
08043	112	112
08045	106	106
08047	249	249
08054	31	31
09001	36	36
09007	12	12
09008	297	297
09009	246	246
09012	305	305
09013	230	230
09023	305	305
09024	305	305
09025	275	275
09028	65	65
09031	28	28
09036	276	276
09037	312	312
09038	195	195
09042	322	322
09043	93	93
09046	281	281
09047	316	316
09048	333	333
09049	324	324
09050	387	387
09051	307	307
10013	12	12
10016	0	0
17021	287	287
21031	210	210
21053	96	96
