Precinct	total_votes	votes|Iris Y. Martinez
01002	114	114
01007	214	214
01009	240	240
01013	136	136
01016	279	279
01017	19	19
01019	398	398
01023	462	462
01034	270	270
01041	202	202
01042	88	88
01043	226	226
26007	212	212
26034	243	243
26037	13	13
30001	300	300
30003	205	205
30004	252	252
30007	280	280
30008	297	297
30009	144	144
30015	219	219
30017	248	248
30018	304	304
30019	76	76
30020	250	250
30022	363	363
30023	308	308
30024	292	292
30025	318	318
30026	143	143
30027	161	161
30028	291	291
30031	167	167
30032	197	197
31001	181	181
31002	170	170
31005	203	203
31006	159	159
31007	301	301
31008	128	128
31009	234	234
31010	174	174
31011	156	156
31012	167	167
31013	215	215
31014	131	131
31017	164	164
31018	175	175
31020	171	171
31021	171	171
31023	171	171
31024	216	216
31026	204	204
31027	168	168
31028	181	181
31029	211	211
31030	146	146
31032	166	166
31033	160	160
31034	160	160
31035	208	208
31036	189	189
31037	172	172
31038	204	204
31040	207	207
31041	194	194
32001	21	21
32003	374	374
32011	328	328
32012	269	269
32014	344	344
32017	329	329
32020	349	349
32022	426	426
32026	348	348
32028	352	352
32043	308	308
33001	345	345
33002	146	146
33003	296	296
33004	423	423
33005	147	147
33006	330	330
33007	266	266
33009	333	333
33011	368	368
33012	341	341
33013	377	377
33014	174	174
33015	408	408
33016	473	473
33017	370	370
33018	264	264
33019	331	331
33020	366	366
33021	363	363
33022	357	357
33025	396	396
33026	284	284
33027	308	308
33028	340	340
35001	272	272
35002	24	24
35004	285	285
35005	269	269
35006	283	283
35009	266	266
35010	412	412
35011	334	334
35015	341	341
35017	303	303
35020	272	272
35022	326	326
35023	294	294
35024	281	281
35025	366	366
35026	247	247
35027	260	260
35028	282	282
35029	237	237
35030	292	292
35031	296	296
36009	0	0
36014	223	223
36016	225	225
36017	278	278
36018	153	153
36020	221	221
38023	248	248
38034	218	218
38035	248	248
38039	72	72
39003	261	261
39006	2	2
39012	181	181
39025	145	145
39028	329	329
39031	206	206
39034	265	265
45001	229	229
45002	266	266
45003	254	254
45004	298	298
45005	238	238
45006	312	312
45007	343	343
45008	256	256
45009	270	270
45010	273	273
45011	223	223
