Precinct	total_votes	votes|Pat Dowell
03001	417	417
03002	436	436
03003	261	261
03004	389	389
03005	265	265
03006	245	245
03007	268	268
03008	313	313
03009	371	371
03010	181	181
03011	343	343
03012	387	387
03013	332	332
03014	260	260
03015	337	337
03016	341	341
03017	303	303
03018	496	496
03019	260	260
03020	391	391
03021	255	255
03022	313	313
03023	334	334
03024	285	285
03025	307	307
03026	329	329
03027	263	263
03028	236	236
03029	353	353
03030	327	327
03031	415	415
03032	263	263
03033	282	282
03034	317	317
03035	160	160
03036	182	182
03037	287	287
03038	308	308
03039	273	273
03040	304	304
03041	283	283
