Precinct	total_votes	votes|Roderick T. Sawyer
06001	340	340
06002	311	311
06003	325	325
06004	200	200
06005	193	193
06006	300	300
06007	290	290
06008	332	332
06009	293	293
06010	223	223
06011	294	294
06012	236	236
06013	234	234
06014	280	280
06015	223	223
06016	303	303
06017	212	212
06018	181	181
06019	244	244
06020	179	179
06021	175	175
06022	202	202
06023	163	163
06024	177	177
06025	179	179
06026	223	223
06027	173	173
06028	146	146
06029	326	326
06030	258	258
06031	303	303
06032	279	279
06033	317	317
06034	317	317
06035	277	277
06036	349	349
06037	339	339
06038	339	339
06039	279	279
06040	269	269
06041	344	344
06042	314	314
06043	245	245
06044	298	298
06045	315	315
06046	198	198
06047	227	227
06048	309	309
