Precinct	total_votes	votes|Barbara Flynn Currie
04001	671	671
04005	521	521
04009	573	573
04010	588	588
04015	528	528
04022	540	540
04023	534	534
04027	630	630
04031	528	528
04034	285	285
05001	482	482
05003	544	544
05007	486	486
05008	532	532
05009	607	607
05011	540	540
05014	300	300
05017	208	208
05018	494	494
05019	503	503
05020	571	571
05021	306	306
05022	563	563
05023	914	914
05024	573	573
05025	468	468
05026	547	547
05027	705	705
05028	282	282
05029	581	581
05031	426	426
05032	561	561
05033	523	523
05034	665	665
05035	533	533
05037	543	543
05038	484	484
05039	421	421
05040	400	400
05041	273	273
07005	366	366
07006	555	555
07007	455	455
07008	340	340
07009	680	680
07011	462	462
07012	400	400
07013	263	263
07014	469	469
07016	333	333
07017	358	358
07018	418	418
07021	291	291
07022	366	366
07025	129	129
07032	301	301
07033	480	480
07034	457	457
07035	431	431
07037	398	398
07046	146	146
10001	363	363
10004	365	365
10006	313	313
10007	291	291
10008	332	332
10010	358	358
10011	467	467
10012	265	265
10014	465	465
10019	382	382
10020	376	376
10021	375	375
10022	255	255
10023	342	342
10025	137	137
10026	325	325
10028	432	432
10029	371	371
10030	381	381
10031	303	303
10032	362	362
10033	293	293
10034	48	48
10035	355	355
10036	83	83
20024	293	293
20026	444	444
20034	630	630
