Precinct	total_votes	votes|Michael R. Zalewski	votes|Charles M. Hughes
23001	273	233	40
23002	244	191	53
23003	215	183	32
23004	307	249	58
23005	281	173	108
23006	314	251	63
23007	264	186	78
23008	318	237	81
23009	265	172	93
23010	353	257	96
23011	329	232	97
23012	230	177	53
23013	236	154	82
23014	221	194	27
23015	249	163	86
23016	232	176	56
23017	185	90	95
23018	227	177	50
23019	236	138	98
23020	194	122	72
23021	241	192	49
23022	255	198	57
23023	250	196	54
23024	253	172	81
23025	241	167	74
23026	292	211	81
23027	238	201	37
23028	265	199	66
23029	221	183	38
23030	330	225	105
23031	172	111	61
23032	299	196	103
23033	314	221	93
23034	271	190	81
23035	171	130	41
23036	232	200	32
23037	200	161	39
23038	227	184	43
23039	286	211	75
