Precinct	total_votes	votes|Marcus Lewis	votes|Robin Kelly	votes|Dorian C.L. Myrickes	votes|Charles Rayburn
05001	346	81	236	10	19
05006	334	54	245	16	19
05010	149	35	102	5	7
05011	225	24	181	9	11
05014	358	59	285	0	14
05018	123	17	102	2	2
05023	569	63	470	17	19
05025	265	34	217	4	10
05026	383	83	266	13	21
05028	429	87	317	10	15
05029	436	73	328	12	23
05031	319	74	207	16	22
05032	446	72	355	6	13
05035	42	4	37	0	1
05036	293	82	184	12	15
05037	347	32	290	8	17
05038	397	72	288	22	15
05040	296	53	215	11	17
05041	205	21	179	2	3
07001	168	30	113	10	15
07002	320	47	242	11	20
07003	328	57	248	10	13
07004	358	50	283	10	15
07005	257	62	171	14	10
07006	405	61	308	16	20
07007	313	65	231	11	6
07008	277	53	195	12	17
07009	498	79	378	20	21
07010	365	54	284	15	12
07011	399	68	299	14	18
07012	326	61	230	17	18
07013	197	26	137	15	19
07014	344	80	213	25	26
07015	342	59	257	6	20
07016	293	62	200	14	17
07017	295	53	217	14	11
07018	259	56	166	12	25
07019	333	67	238	10	18
07020	243	42	178	17	6
07021	261	59	169	18	15
07022	246	53	169	12	12
07023	345	60	259	8	18
07024	292	60	208	12	12
07025	322	62	219	19	22
07026	290	63	205	8	14
07027	273	44	201	10	18
07028	228	60	143	8	17
07029	288	44	224	12	8
07030	245	67	153	14	11
07031	207	60	120	17	10
07032	461	82	347	16	16
07033	430	69	335	14	12
07034	387	63	293	13	18
07035	312	61	229	11	11
07036	402	79	297	13	13
07037	380	67	278	14	21
07038	290	63	198	12	17
07039	311	56	235	9	11
07040	302	69	202	16	15
07041	325	71	221	18	15
07042	317	69	222	12	14
07043	299	63	201	20	15
07044	299	71	206	12	10
07045	338	87	211	22	18
07046	158	42	99	9	8
08004	175	32	137	4	2
08005	6	3	3	0	0
08007	408	95	284	7	22
08009	245	49	179	5	12
08017	301	61	225	6	9
08027	296	43	235	6	12
08028	357	63	266	11	17
08032	270	45	206	6	13
08036	363	68	276	8	11
08039	365	64	283	5	13
08042	431	67	337	8	19
08046	269	47	200	6	16
08049	19	2	16	1	0
08050	116	14	96	1	5
08053	200	46	138	7	9
09001	366	63	272	12	19
09002	317	59	202	26	30
09003	292	62	187	21	22
09004	276	49	211	9	7
09005	307	54	235	4	14
09006	326	72	228	8	18
09007	253	57	171	9	16
09008	338	79	230	15	14
09009	382	67	289	6	20
09010	302	69	199	18	16
09011	247	64	143	17	23
09013	360	62	269	7	22
09014	433	66	327	14	26
09015	350	74	233	23	20
09016	321	51	246	7	17
09017	278	58	189	19	12
09018	244	73	146	5	20
09019	336	62	242	15	17
09020	369	72	258	17	22
09021	284	62	197	6	19
09022	360	66	255	18	21
09026	327	75	199	26	27
09027	314	75	201	13	25
09028	219	46	142	16	15
09029	287	53	200	14	20
09030	303	58	210	11	24
09031	259	44	183	10	22
09032	293	49	214	12	18
09033	260	59	180	8	13
09034	281	61	183	14	23
09035	324	51	245	9	19
09037	360	43	282	15	20
09038	324	63	219	18	24
09039	350	76	244	13	17
09040	371	52	269	18	32
09041	283	55	206	10	12
09043	305	67	195	14	29
09044	299	43	233	14	9
09045	273	51	195	12	15
09046	325	55	231	14	25
10001	281	63	174	22	22
10002	213	38	130	19	26
10003	223	39	147	19	18
10004	241	63	135	19	24
10005	179	37	108	15	19
10006	220	48	136	18	18
10007	204	58	111	20	15
10008	229	69	120	18	22
10009	215	47	123	26	19
10010	275	48	175	31	21
10011	319	70	191	29	29
10012	188	40	112	19	17
10013	318	70	183	41	24
10014	335	73	192	44	26
10015	618	135	436	22	25
10016	197	26	137	19	15
10017	283	49	188	15	31
10018	200	46	113	22	19
10019	235	47	131	27	30
10020	275	64	156	23	32
10021	292	65	165	38	24
10022	176	43	100	17	16
10023	279	54	169	27	29
10024	220	29	152	16	23
10025	99	17	70	4	8
10026	225	58	121	24	22
10027	288	64	182	18	24
10028	317	65	183	41	28
10029	266	61	163	22	20
10030	267	63	151	31	22
10031	227	68	139	13	7
10032	271	61	167	19	24
10033	193	49	105	23	16
10034	210	56	122	19	13
10035	270	55	173	24	18
10036	71	20	39	7	5
34002	49	9	35	3	2
34004	288	67	190	11	20
34018	266	67	163	11	25
34022	231	48	165	4	14
34023	262	61	172	11	18
34024	326	61	224	14	27
34027	297	64	207	11	15
34028	255	52	183	11	9
34030	219	36	170	0	13
34036	310	52	224	18	16
34037	231	61	142	8	20
34038	195	37	136	12	10
34039	279	56	188	14	21
34041	209	50	140	7	12
34042	0	0	0	0	0
34053	256	50	181	11	14
