Precinct	total_votes	votes|Michael D. Rodriguez
22001	181	181
22002	279	279
22003	385	385
22004	242	242
22005	291	291
22006	262	262
22007	194	194
22008	303	303
22009	235	235
22010	390	390
22011	205	205
22012	227	227
22013	295	295
22014	208	208
22015	229	229
22016	279	279
22017	296	296
22018	248	248
22019	137	137
22020	291	291
22021	307	307
22022	253	253
22023	313	313
22024	344	344
22025	288	288
